underlying,ts,bid,ask,spot,runbet_spot
frxAUDJPY,2014-04-29 16:24:17,95.03,95.056,95.042,95.042
frxAUDJPY,2014-04-29 16:24:18,95.034,95.049,95.041,95.041
frxAUDJPY,2014-04-29 16:24:19,95.026,95.061,95.043,95.043
frxAUDJPY,2014-04-29 16:24:21,95.034,95.048,95.041,95.041
frxAUDJPY,2014-04-29 16:24:22,95.033,95.05,95.041,95.041
frxAUDJPY,2014-04-29 16:24:23,95.029,95.056,95.041,95.041
frxAUDJPY,2014-04-29 16:24:24,95.026,95.06,95.046,95.046
frxAUDJPY,2014-04-29 16:24:25,95.031,95.053,95.041,95.041
frxAUDJPY,2014-04-29 16:24:26,95.033,95.05,95.041,95.041
frxAUDJPY,2014-04-29 16:24:27,95.033,95.052,95.042,95.042
frxAUDJPY,2014-04-29 16:24:28,95.038,95.045,95.041,95.041
frxAUDJPY,2014-04-29 16:24:29,95.025,95.059,95.041,95.041
frxAUDJPY,2014-04-29 16:24:33,95.036,95.047,95.041,95.041
frxAUDJPY,2014-04-29 16:24:34,95.032,95.052,95.041,95.041
frxAUDJPY,2014-04-29 16:24:35,95.03,95.056,95.042,95.042
frxAUDJPY,2014-04-29 16:24:36,95.03,95.13,95.064,95.064
frxAUDJPY,2014-04-29 16:24:37,94.98,95.08,95.036,95.036
frxAUDJPY,2014-04-29 16:24:38,95.038,95.05,95.042,95.042
frxAUDJPY,2014-04-29 16:24:39,95.024,95.06,95.042,95.042
frxAUDJPY,2014-04-29 16:24:43,95.037,95.049,95.042,95.042
frxAUDJPY,2014-04-29 16:24:44,95.035,95.049,95.041,95.041
frxAUDJPY,2014-04-29 16:24:45,95.027,95.053,95.039,95.039
frxAUDJPY,2014-04-29 16:24:46,95.033,95.045,95.038,95.038
